reporting_jurisdiction, sample_location, key_plot_id, town_name, county_names, population_served, date_start, date_end, rna_pct_change_15d, pos_PCR_prop_15d, percentile, sampling_prior, first_sample_date
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/23/2020,9/6/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/24/2020,9/7/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/25/2020,9/8/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/26/2020,9/9/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/27/2020,9/10/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/28/2020,9/11/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/29/2020,9/12/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/30/2020,9/13/2020,-62,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/31/2020,9/14/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/1/2020,9/15/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/2/2020,9/16/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/3/2020,9/17/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/4/2020,9/18/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/5/2020,9/19/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/6/2020,9/20/2020,806,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/7/2020,9/21/2020,806,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/8/2020,9/22/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/9/2020,9/23/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/10/2020,9/24/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/11/2020,9/25/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/12/2020,9/26/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/13/2020,9/27/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/14/2020,9/28/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/15/2020,9/29/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/16/2020,9/30/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/17/2020,10/1/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/18/2020,10/2/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/19/2020,10/3/2020,-46,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/20/2020,10/4/2020,-64,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/21/2020,10/5/2020,-76,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/22/2020,10/6/2020,-76,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/23/2020,10/7/2020,-76,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/24/2020,10/8/2020,-76,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/25/2020,10/9/2020,-76,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/26/2020,10/10/2020,-76,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/27/2020,10/11/2020,86,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/28/2020,10/12/2020,1325,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/29/2020,10/13/2020,1325,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,9/30/2020,10/14/2020,1325,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/1/2020,10/15/2020,1325,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/2/2020,10/16/2020,1325,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/3/2020,10/17/2020,1325,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/4/2020,10/18/2020,74,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/5/2020,10/19/2020,-79,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/6/2020,10/20/2020,-79,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/7/2020,10/21/2020,-79,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/8/2020,10/22/2020,-79,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/9/2020,10/23/2020,-79,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/10/2020,10/24/2020,-79,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,10/11/2020,10/25/2020,-79,100,NA,yes,7/5/2020
